"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년",
"종로구","외국인-남자","명","7559","4776","4913","5536",
"종로구","외국인-여자","명","7843","5573","6066","6520",
"종로구","가구-계","가구","68429","65022","66711","68180",
"종로구","일반가구","가구","61580","60786","62372","63773",
"종로구","집단가구","가구","106","110","124","123",
"종로구","외국인가구","가구","6743","4126","4215","4284",
"종로구","주택-계","호","43550","43554","45787","45729",
"종로구","단독주택","호","13103","12991","12920","12699",
"종로구","아파트","호","12552","12462","14507","14530",
"종로구","연립주택","호","5395","5410","5451","5428",
"종로구","다세대주택","호","11664","11872","11978","12140",
"종로구","비거주용 건물내 주택","호","836","819","931","932",
"종로구","주택이외의 거처","호","4226","4488","4859","4975",
"중구","총인구","명","128478","128160","127896","129797",
"중구","남자","명","63218","62514","62195","62975",
"중구","여자","명","65260","65646","65701","66822",
"중구","내국인-계","명","118021","117960","117631","117809",
"중구","내국인-남자","명","58223","57677","57391","57240",
"중구","내국인-여자","명","59798","60283","60240","60569",
"중구","외국인-계","명","10457","10200","10265","11988",
"중구","외국인-남자","명","4995","4837","4804","5735",
"중구","외국인-여자","명","5462","5363","5461","6253",
"중구","가구-계","가구","55508","55554","56239","57318",
"중구","일반가구","가구","51205","51503","52208","53102",
"중구","집단가구","가구","64","78","89","105",
"중구","외국인가구","가구","4239","3973","3942","4111",
"중구","주택-계","호","37478","38311","39512","40177",
"중구","단독주택","호","6436","6364","6308","6209",
"중구","아파트","호","22186","22923","23874","24417",
"중구","연립주택","호","1975","1955","1948","1944",
"중구","다세대주택","호","6148","6333","6491","6719",
"중구","비거주용 건물내 주택","호","733","736","891","888",
"중구","주택이외의 거처","호","3549","4220","4773","4958",
"용산구","총인구","명","227282","224993","223898","226938",
"용산구","남자","명","109980","108520","108471","110685",
"용산구","여자","명","117302","116473","115427","116253",
"용산구","내국인-계","명","212189","209710","207893","207812",
"용산구","내국인-남자","명","102154","100642","99759","99806",
"용산구","내국인-여자","명","110035","109068","108134","108006",
"용산구","외국인-계","명","15093","15283","16005","19126",
"용산구","외국인-남자","명","7826","7878","8712","10879",
"용산구","외국인-여자","명","7267","7405","7293","8247",
"용산구","가구-계","가구","96385","96097","96975","98580",
"용산구","일반가구","가구","90313","90164","91102","92500",
"용산구","집단가구","가구","68","65","85","95",
"용산구","외국인가구","가구","6004","5868","5788","5985",
"용산구","주택-계","호","70723","70868","71356","71680",
"용산구","단독주택","호","15503","15302","14993","14792",
"용산구","아파트","호","35343","35310","35648","35728",
"용산구","연립주택","호","4029","3974","3985","3996",
"용산구","다세대주택","호","15206","15653","15988","16416",
"용산구","비거주용 건물내 주택","호","642","629","742","748",
"용산구","주택이외의 거처","호","4036","4321","4790","5518",
"성동구","총인구","명","295006","294744","302367","306796",
"성동구","남자","명","146332","145935","149060","150623",
"성동구","여자","명","148674","148809","153307","156173",
"성동구","내국인-계","명","285137","284735","291931","295489",
"성동구","내국인-남자","명","141429","141022","144018","145220",
"성동구","내국인-여자","명","143708","143713","147913","150269",
"성동구","외국인-계","명","9869","10009","10436","11307",
"성동구","외국인-남자","명","4903","4913","5042","5403",
"성동구","외국인-여자","명","4966","5096","5394","5904",
"성동구","가구-계","가구","118900","120625","125421","128602",
"성동구","일반가구","가구","114719","116401","120957","123963",
"성동구","집단가구","가구","75","55","75","78",
"성동구","외국인가구","가구","4106","4169","4389","4561",
"성동구","주택-계","호","82331","80977","86650","87830",
"성동구","단독주택","호","11250","11155","11044","10944",
"성동구","아파트","호","59331","57548","62985","63976",
"성동구","연립주택","호","2076","2063","2055","2032",
"성동구","다세대주택","호","8610","9172","9470","9785",
"성동구","비거주용 건물내 주택","호","1064","1039","1096","1093",
"성동구","주택이외의 거처","호","4507","5118","5432","5705",
"광진구","총인구","명","368199","363979","363934","362304",
"광진구","남자","명","180647","177858","177156","175762",
"광진구","여자","명","187552","186121","186778","186542",
"광진구","내국인-계","명","350993","346476","345535","342575",
"광진구","내국인-남자","명","172622","169766","168833","166730",
"광진구","내국인-여자","명","178371","176710","176702","175845",
"광진구","외국인-계","명","17206","17503","18399","19729",
"광진구","외국인-남자","명","8025","8092","8323","9032",
"광진구","외국인-여자","명","9181","9411","10076","10697",
"광진구","가구-계","가구","155242","153844","155878","156764",
"광진구","일반가구","가구","147718","146196","147846","148735",
"광진구","집단가구","가구","84","77","90","87",
"광진구","외국인가구","가구","7440","7571","7942","7942",
"광진구","주택-계","호","79393","82691","84316","85638",
"광진구","단독주택","호","17034","16566","16297","16002",
"광진구","아파트","호","29880","30401","30301","30425",
"광진구","연립주택","호","4434","4293","4249","4152",
"광진구","다세대주택","호","26561","30003","31970","33565",
"광진구","비거주용 건물내 주택","호","1484","1428","1499","1494",
"광진구","주택이외의 거처","호","4721","4933","6121","6580",
"동대문구","총인구","명","364787","359935","357380","358141",
"동대문구","남자","명","181189","178285","176460","176323",
"동대문구","여자","명","183598","181650","180920","181818",
"동대문구","내국인-계","명","349957","343744","339438","338293",
"동대문구","내국인-남자","명","174710","171397","168977","167999",
"동대문구","내국인-여자","명","175247","172347","170461","170294",
"동대문구","외국인-계","명","14830","16191","17942","19848",
"동대문구","외국인-남자","명","6479","6888","7483","8324",
"동대문구","외국인-여자","명","8351","9303","10459","11524",
"동대문구","가구-계","가구","153362","152538","153187","155542",
"동대문구","일반가구","가구","146677","145179","145294","146974",
"동대문구","집단가구","가구","134","103","134","158",
"동대문구","외국인가구","가구","6551","7256","7759","8410",
"동대문구","주택-계","호","98203","96464","97891","100802",
"동대문구","단독주택","호","20799","20325","19954","19484",
"동대문구","아파트","호","59534","57350","58161","60386",
"동대문구","연립주택","호","3740","3411","3251","3181",
"동대문구","다세대주택","호","12529","13770","14866","16093",
"동대문구","비거주용 건물내 주택","호","1601","1608","1659","1658",
"동대문구","주택이외의 거처","호","6802","7575","8293","8192",
"중랑구","총인구","명","403237","399317","396892","391668",
"중랑구","남자","명","199936","197875","196346","193599",
"중랑구","여자","명","203301","201442","200546","198069",
"중랑구","내국인-계","명","397487","393547","390879","385082",
"중랑구","내국인-남자","명","197499","195451","193871","190871",
"중랑구","내국인-여자","명","199988","198096","197008","194211",
"중랑구","외국인-계","명","5750","5770","6013","6586",
"중랑구","외국인-남자","명","2437","2424","2475","2728",
"중랑구","외국인-여자","명","3313","3346","3538","3858",
"중랑구","가구-계","가구","160043","159920","161432","162039",
"중랑구","일반가구","가구","157537","157571","159035","159444",
"중랑구","집단가구","가구","68","43","62","59",
"중랑구","외국인가구","가구","2438","2306","2335","2536",
"중랑구","주택-계","호","99265","102387","103740","105691",
"중랑구","단독주택","호","21155","20430","19669","19208",
"중랑구","아파트","호","50078","50343","51031","51475",
"중랑구","연립주택","호","4943","4850","4578","4451",
"중랑구","다세대주택","호","21543","25272","26949","29040",
"중랑구","비거주용 건물내 주택","호","1546","1492","1513","1517",
"중랑구","주택이외의 거처","호","2564","2888","3327","3513",
"성북구","총인구","명","456844","451800","445417","438734",
"성북구","남자","명","221861","218606","215068","211204",
"성북구","여자","명","234983","233194","230349","227530",
"성북구","내국인-계","명","445710","439623","432226","424211",
"성북구","내국인-남자","명","216872","213250","209374","205031",
"성북구","내국인-여자","명","228838","226373","222852","219180",
"성북구","외국인-계","명","11134","12177","13191","14523",
"성북구","외국인-남자","명","4989","5356","5694","6173",
"성북구","외국인-여자","명","6145","6821","7497","8350",
"성북구","가구-계","가구","178717","179278","178276","177489",
"성북구","일반가구","가구","174257","174370","172973","171943",
"성북구","집단가구","가구","168","153","183","183",
"성북구","외국인가구","가구","4292","4755","5120","5363",
"성북구","주택-계","호","128046","128502","130766","129994",
"성북구","단독주택","호","27180","25928","25457","24207",
"성북구","아파트","호","69725","69981","71571","71754",
"성북구","연립주택","호","6518","6376","6321","6097",
"성북구","다세대주택","호","23097","24748","25902","26446",
"성북구","비거주용 건물내 주택","호","1526","1469","1515","1490",
"성북구","주택이외의 거처","호","2965","3159","3385","3378",
"강북구","총인구","명","319992","316212","313698","309138",
"강북구","남자","명","156386","154407","152464","150028",
"강북구","여자","명","163606","161805","161234","159110",
"강북구","내국인-계","명","315754","311917","309255","304191",
"강북구","내국인-남자","명","154667","152689","150745","148057",
"강북구","내국인-여자","명","161087","159228","158510","156134",
"강북구","외국인-계","명","4238","4295","4443","4947",
"강북구","외국인-남자","명","1719","1718","1719","1971",
"강북구","외국인-여자","명","2519","2577","2724","2976",
"강북구","가구-계","가구","127462","127371","129204","129610",
"강북구","일반가구","가구","125666","125580","127281","127551",
"강북구","집단가구","가구","82","59","68","98",
"강북구","외국인가구","가구","1714","1732","1855","1961",
"강북구","주택-계","호","91806","93623","94526","95097",
"강북구","단독주택","호","19393","18870","18369","18185",
"강북구","아파트","호","32651","32652","33458","33282",
"강북구","연립주택","호","4854","4915","4882","4881",
"강북구","다세대주택","호","33820","36136","36743","37671",
"강북구","비거주용 건물내 주택","호","1088","1050","1074","1078",
"강북구","주택이외의 거처","호","2025","2052","2220","2322",
"도봉구","총인구","명","340095","336745","332586","328243",
"도봉구","남자","명","166187","164407","161944","159569",
"도봉구","여자","명","173908","172338","170642","168674",
"도봉구","내국인-계","명","337541","334165","329957","325292",
"도봉구","내국인-남자","명","165130","163364","160885","158370",
"도봉구","내국인-여자","명","172411","170801","169072","166922",
"도봉구","외국인-계","명","2554","2580","2629","2951",
"도봉구","외국인-남자","명","1057","1043","1059","1199",
"도봉구","외국인-여자","명","1497","1537","1570","1752",
"도봉구","가구-계","가구","125952","126297","126940","127249",
"도봉구","일반가구","가구","124981","125384","125974","126286",
"도봉구","집단가구","가구","64","37","60","76",
"도봉구","외국인가구","가구","907","876","906","887",
"도봉구","주택-계","호","102443","104170","104752","105526",
"도봉구","단독주택","호","9404","9237","9014","8903",
"도봉구","아파트","호","64082","64269","64352","64580",
"도봉구","연립주택","호","4242","4354","4235","4176",
"도봉구","다세대주택","호","24014","25607","26422","27138",
"도봉구","비거주용 건물내 주택","호","701","703","729","729",
"도봉구","주택이외의 거처","호","2680","2774","3593","3625",
"노원구","총인구","명","562996","555420","543499","534096",
"노원구","남자","명","274128","270058","263655","258737",
"노원구","여자","명","288868","285362","279844","275359",
"노원구","내국인-계","명","558270","550729","538768","528268",
"노원구","내국인-남자","명","271933","267903","261563","256124",
"노원구","내국인-여자","명","286337","282826","277205","272144",
"노원구","외국인-계","명","4726","4691","4731","5828",
"노원구","외국인-남자","명","2195","2155","2092","2613",
"노원구","외국인-여자","명","2531","2536","2639","3215",
"노원구","가구-계","가구","206092","205793","204188","203647",
"노원구","일반가구","가구","204836","204606","202955","202326",
"노원구","집단가구","가구","94","87","124","111",
"노원구","외국인가구","가구","1162","1100","1109","1210",
"노원구","주택-계","호","186626","189013","187025","186533",
"노원구","단독주택","호","8143","7990","7081","6783",
"노원구","아파트","호","160725","162895","161701","161273",
"노원구","연립주택","호","3536","3541","3508","3467",
"노원구","다세대주택","호","13471","13887","14025","14312",
"노원구","비거주용 건물내 주택","호","751","700","710","698",
"노원구","주택이외의 거처","호","2975","3100","3271","3339",
"은평구","총인구","명","478374","472242","466243","462552",
"은평구","남자","명","232709","229215","225813","223452",
"은평구","여자","명","245665","243027","240430","239100",
"은평구","내국인-계","명","472775","466813","460651","456582",
"은평구","내국인-남자","명","230226","226844","223388","220818",
"은평구","내국인-여자","명","242549","239969","237263","235764",
"은평구","외국인-계","명","5599","5429","5592","5970",
"은평구","외국인-남자","명","2483","2371","2425","2634",
"은평구","외국인-여자","명","3116","3058","3167","3336",
"은평구","가구-계","가구","181725","180698","181588","183289",
"은평구","일반가구","가구","179752","178775","179641","181338",
"은평구","집단가구","가구","84","57","73","84",
"은평구","외국인가구","가구","1889","1866","1874","1867",
"은평구","주택-계","호","140330","142135","143727","144611",
"은평구","단독주택","호","18582","17678","16416","16000",
"은평구","아파트","호","50419","50677","52000","52607",
"은평구","연립주택","호","6886","6696","6595","6297",
"은평구","다세대주택","호","63059","65756","67371","68390",
"은평구","비거주용 건물내 주택","호","1384","1328","1345","1317",
"은평구","주택이외의 거처","호","6021","6075","7377","8225",
"서대문구","총인구","명","308768","320258","321345","318874",
"서대문구","남자","명","147956","151756","151132","149438",
"서대문구","여자","명","160812","168502","170213","169436",
"서대문구","내국인-계","명","297761","308419","308193","304508",
"서대문구","내국인-남자","명","143596","147301","146320","144208",
"서대문구","내국인-여자","명","154165","161118","161873","160300",
"서대문구","외국인-계","명","11007","11839","13152","14366",
"서대문구","외국인-남자","명","4360","4455","4812","5230",
"서대문구","외국인-여자","명","6647","7384","8340","9136",
"서대문구","가구-계","가구","125149","130954","131721","132305",
"서대문구","일반가구","가구","121034","126581","126672","127197",
"서대문구","집단가구","가구","104","94","105","111",
"서대문구","외국인가구","가구","4011","4279","4944","4997",
"서대문구","주택-계","호","92885","92788","94398","94884",
"서대문구","단독주택","호","15568","14981","13939","13378",
"서대문구","아파트","호","45340","44866","47445","48277",
"서대문구","연립주택","호","5762","5727","5630","5486",
"서대문구","다세대주택","호","25250","26294","26418","26783",
"서대문구","비거주용 건물내 주택","호","965","920","966","960",
"서대문구","주택이외의 거처","호","4240","4288","4980","5196",
"마포구","총인구","명","381330","375142","368841","368181",
"마포구","남자","명","182657","179193","175326","174194",
"마포구","여자","명","198673","195949","193515","193987",
"마포구","내국인-계","명","369875","363741","356881","355405",
"마포구","내국인-남자","명","177608","174215","170311","168819",
"마포구","내국인-여자","명","192267","189526","186570","186586",
"마포구","외국인-계","명","11455","11401","11960","12776",
"마포구","외국인-남자","명","5049","4978","5015","5375",
"마포구","외국인-여자","명","6406","6423","6945","7401",
"마포구","가구-계","가구","159636","158474","157877","159850",
"마포구","일반가구","가구","154981","153610","152814","154940",
"마포구","집단가구","가구","100","74","81","106",
"마포구","외국인가구","가구","4555","4790","4982","4804",
"마포구","주택-계","호","116135","118456","118355","118619",
"마포구","단독주택","호","14302","13685","12607","12225",
"마포구","아파트","호","63071","65418","66349","66582",
"마포구","연립주택","호","3683","3604","3464","3227",
"마포구","다세대주택","호","33508","34232","34356","35003",
"마포구","비거주용 건물내 주택","호","1571","1517","1579","1582",
"마포구","주택이외의 거처","호","9847","10493","11637","13712",
"양천구","총인구","명","465512","460267","452111","445591",
"양천구","남자","명","229878","226927","222503","218975",
"양천구","여자","명","235634","233340","229608","226616",
"양천구","내국인-계","명","459665","454621","446643","439910",
"양천구","내국인-남자","명","227166","224290","220035","216381",
"양천구","내국인-여자","명","232499","230331","226608","223529",
"양천구","외국인-계","명","5847","5646","5468","5681",
"양천구","외국인-남자","명","2712","2637","2468","2594",
"양천구","외국인-여자","명","3135","3009","3000","3087",
"양천구","가구-계","가구","166139","165412","164193","164048",
"양천구","일반가구","가구","163823","163253","162045","162039",
"양천구","집단가구","가구","64","40","45","51",
"양천구","외국인가구","가구","2252","2119","2103","1958",
"양천구","주택-계","호","134097","137651","137056","137850",
"양천구","단독주택","호","9907","9547","8370","7990",
"양천구","아파트","호","83827","85474","85758","85921",
"양천구","연립주택","호","4459","4531","4265","4225",
"양천구","다세대주택","호","34948","37225","37784","38855",
"양천구","비거주용 건물내 주택","호","956","874","879","859",
"양천구","주택이외의 거처","호","5933","5681","6095","6160",
"강서구","총인구","명","570507","574287","581675","578539",
"강서구","남자","명","278270","279521","282678","280629",
"강서구","여자","명","292237","294766","298997","297910",
"강서구","내국인-계","명","562468","565968","572993","569360",
"강서구","내국인-남자","명","274379","275482","278564","276282",
"강서구","내국인-여자","명","288089","290486","294429","293078",
"강서구","외국인-계","명","8039","8319","8682","9179",
"강서구","외국인-남자","명","3891","4039","4114","4347",
"강서구","외국인-여자","명","4148","4280","4568","4832",
"강서구","가구-계","가구","220598","225672","234926","238901",
"강서구","일반가구","가구","217636","222652","231739","235754",
"강서구","집단가구","가구","90","59","83","89",
"강서구","외국인가구","가구","2872","2961","3104","3058",
"강서구","주택-계","호","179045","184422","188176","190525",
"강서구","단독주택","호","11671","11310","10895","10697",
"강서구","아파트","호","107304","109403","111037","111811",
"강서구","연립주택","호","5306","5218","5134","4966",
"강서구","다세대주택","호","53569","57345","59950","61900",
"강서구","비거주용 건물내 주택","호","1195","1146","1160","1151",
"강서구","주택이외의 거처","호","11118","14356","20437","22723",
"구로구","총인구","명","444832","442165","436869","433765",
"구로구","남자","명","222985","221227","218428","217086",
"구로구","여자","명","221847","220938","218441","216679",
"구로구","내국인-계","명","405371","401635","394962","388079",
"구로구","내국인-남자","명","201721","199362","195772","192022",
"구로구","내국인-여자","명","203650","202273","199190","196057",
"구로구","외국인-계","명","39461","40530","41907","45686",
"구로구","외국인-남자","명","21264","21865","22656","25064",
"구로구","외국인-여자","명","18197","18665","19251","20622",
"구로구","가구-계","가구","170651","171945","172346","174431",
"구로구","일반가구","가구","156528","156671","156110","156235",
"구로구","집단가구","가구","72","63","88","98",
"구로구","외국인가구","가구","14051","15211","16148","18098",
"구로구","주택-계","호","118047","120431","121684","124569",
"구로구","단독주택","호","12469","12311","12008","11827",
"구로구","아파트","호","74594","75180","75540","77194",
"구로구","연립주택","호","7362","7471","7405","7392",
"구로구","다세대주택","호","22783","24639","25884","27310",
"구로구","비거주용 건물내 주택","호","839","830","847","846",
"구로구","주택이외의 거처","호","10577","11719","12178","12291",
"금천구","총인구","명","250690","247819","249930","249344",
"금천구","남자","명","128036","126271","127252","127278",
"금천구","여자","명","122654","121548","122678","122066",
"금천구","내국인-계","명","225898","222790","224487","221820",
"금천구","내국인-남자","명","114746","112892","113579","112288",
"금천구","내국인-여자","명","111152","109898","110908","109532",
"금천구","외국인-계","명","24792","25029","25443","27524",
"금천구","외국인-남자","명","13290","13379","13673","14990",
"금천구","외국인-여자","명","11502","11650","11770","12534",
"금천구","가구-계","가구","103086","103691","106162","108167",
"금천구","일반가구","가구","93443","93402","95331","96298",
"금천구","집단가구","가구","60","39","56","77",
"금천구","외국인가구","가구","9583","10250","10775","11792",
"금천구","주택-계","호","57096","58938","62314","65244",
"금천구","단독주택","호","9776","9606","9410","9217",
"금천구","아파트","호","27342","27470","29385","30918",
"금천구","연립주택","호","3937","3949","3923","3872",
"금천구","다세대주택","호","15549","17412","19056","20696",
"금천구","비거주용 건물내 주택","호","492","501","540","541",
"금천구","주택이외의 거처","호","4695","5065","6415","6345",
"영등포구","총인구","명","406528","398120","393560","395286",
"영등포구","남자","명","203801","199142","196929","198031",
"영등포구","여자","명","202727","198978","196631","197255",
"영등포구","내국인-계","명","357484","350363","346852","346135",
"영등포구","내국인-남자","명","178064","173997","172220","171625",
"영등포구","내국인-여자","명","179420","176366","174632","174510",
"영등포구","외국인-계","명","49044","47757","46708","49151",
"영등포구","외국인-남자","명","25737","25145","24709","26406",
"영등포구","외국인-여자","명","23307","22612","21999","22745",
"영등포구","가구-계","가구","162570","161970","162626","166047",
"영등포구","일반가구","가구","147745","146904","147559","149831",
"영등포구","집단가구","가구","108","88","112","138",
"영등포구","외국인가구","가구","14717","14978","14955","16078",
"영등포구","주택-계","호","96195","97089","99225","99971",
"영등포구","단독주택","호","17306","16998","15401","14644",
"영등포구","아파트","호","65088","65390","68204","68984",
"영등포구","연립주택","호","1562","1500","1500","1486",
"영등포구","다세대주택","호","11112","12112","12928","13674",
"영등포구","비거주용 건물내 주택","호","1127","1089","1192","1183",
"영등포구","주택이외의 거처","호","15125","17535","19908","21341",
"동작구","총인구","명","407894","404076","400236","397980",
"동작구","남자","명","200602","197854","195253","193713",
"동작구","여자","명","207292","206222","204983","204267",
"동작구","내국인-계","명","392969","388664","384227","380659",
"동작구","내국인-남자","명","193400","190563","187799","185596",
"동작구","내국인-여자","명","199569","198101","196428","195063",
"동작구","외국인-계","명","14925","15412","16009","17321",
"동작구","외국인-남자","명","7202","7291","7454","8117",
"동작구","외국인-여자","명","7723","8121","8555","9204",
"동작구","가구-계","가구","166706","165785","166520","168420",
"동작구","일반가구","가구","161000","159770","160062","161495",
"동작구","집단가구","가구","76","76","74","111",
"동작구","외국인가구","가구","5630","5939","6384","6814",
"동작구","주택-계","호","109362","111438","111548","112032",
"동작구","단독주택","호","17113","16283","15626","14889",
"동작구","아파트","호","56969","58232","58320","59188",
"동작구","연립주택","호","5475","5368","5236","5152",
"동작구","다세대주택","호","28726","30489","31283","31713",
"동작구","비거주용 건물내 주택","호","1079","1066","1083","1090",
"동작구","주택이외의 거처","호","2358","2563","3003","3118",
"관악구","총인구","명","519622","515648","511222","510303",
"관악구","남자","명","261967","259824","256857","255687",
"관악구","여자","명","257655","255824","254365","254616",
"관악구","내국인-계","명","495600","491182","486747","484885",
"관악구","내국인-남자","명","250352","248149","245391","243815",
"관악구","내국인-여자","명","245248","243033","241356","241070",
"관악구","외국인-계","명","24022","24466","24475","25418",
"관악구","외국인-남자","명","11615","11675","11466","11872",
"관악구","외국인-여자","명","12407","12791","13009","13546",
"관악구","가구-계","가구","238744","241003","242972","247871",
"관악구","일반가구","가구","228636","230570","232212","236761",
"관악구","집단가구","가구","168","120","159","211",
"관악구","외국인가구","가구","9940","10313","10601","10899",
"관악구","주택-계","호","121277","123911","124170","125148",
"관악구","단독주택","호","23159","22636","22196","21584",
"관악구","아파트","호","53262","54551","53548","53915",
"관악구","연립주택","호","6489","6479","6498","6442",
"관악구","다세대주택","호","36436","38369","40024","41274",
"관악구","비거주용 건물내 주택","호","1931","1876","1904","1933",
"관악구","주택이외의 거처","호","12073","13676","15945","16636",
"서초구","총인구","명","420804","419682","414550","409491",
"서초구","남자","명","201841","201062","198241","196064",
"서초구","여자","명","218963","218620","216309","213427",
"서초구","내국인-계","명","413695","413015","408012","402348",
"서초구","내국인-남자","명","198391","197771","195073","192460",
"서초구","내국인-여자","명","215304","215244","212939","209888",
"서초구","외국인-계","명","7109","6667","6538","7143",
"서초구","외국인-남자","명","3450","3291","3168","3604",
